id,priority,category,effort,status,title,source
200,P1,apply,L,todo,Adaptive mempool size limits based on RAM,catalogue
201,P1,apply,L,todo,Evict lowest-RC transactions first under pressure,catalogue
202,P1,apply,L,todo,Pre-apply cost estimation for large transactions,catalogue
203,P1,apply,L,todo,Cache validation results for identical transactions,catalogue
204,P0,apply,L,portable-prototype,Bloom / compact-set for is_known_transaction,catalogue
205,P0,apply,L,todo,Separate validation thread pool from apply,catalogue
206,P1,apply,L,todo,Speculative inclusion of high-confidence transactions,catalogue
207,P1,apply,L,todo,Optimized parsing for large custom_json,catalogue
208,P1,apply,L,todo,Specialized post-HF28 paths for claim/create account,catalogue
209,P0,apply,L,todo,SIMD / NEON acceleration for vote-weight and common arithmetic,catalogue
210,P0,apply,L,todo,Faster Merkle-root and block-ID computation,catalogue
211,P1,apply,L,todo,Cache deserialised full_transaction across P2P and apply,catalogue
212,P1,apply,L,todo,Skip redundant authority checks after successful mempool validation,catalogue
213,P1,apply,L,todo,Profile-guided inlining and de-virtualization of evaluators,catalogue
214,P1,apply,L,todo,Configurable apply-parallelism exposed to operators,catalogue
215,P1,apply,L,todo,Micro-optimizations for common multi-sig patterns,catalogue
216,P0,apply,L,partial-portable,Batch RC deduction / refund,catalogue
217,P1,apply,L,todo,Pre-validate transactions more aggressively before inclusion,catalogue
218,P1,apply,L,todo,Reduce virtual-op generation for low-value ops under load,catalogue
219,P0,apply,L,portable-prototype,Arena / pool allocation for all temporary apply data,catalogue
220,P1,apply,L,todo,Speculative execution of the predicted next block,catalogue
221,P2,apply,M,todo,Specialize evaluator: vote_operation hot path,expanded
222,P2,apply,M,todo,Specialize evaluator: transfer_operation hot path,expanded
223,P2,apply,M,todo,Specialize evaluator: custom_json_operation hot path,expanded
224,P2,apply,M,todo,Specialize evaluator: comment_operation hot path,expanded
225,P2,apply,M,todo,Specialize evaluator: limit_order hot path,expanded
226,P2,apply,M,todo,Specialize evaluator: claim_account / create_claimed_account post-HF28,expanded
227,P2,apply,M,todo,Specialize evaluator: recurrent_transfer,expanded
228,P2,apply,M,todo,Specialize evaluator: escrow ops,expanded
229,P2,apply,M,todo,Specialize evaluator: witness_update,expanded
230,P2,apply,M,todo,Specialize evaluator: account_update,expanded
231,P2,apply,M,todo,Skip flag combo: replay-no-plugins,expanded
232,P2,apply,M,todo,Skip flag combo: replay-no-virtual-ops,expanded
233,P2,apply,M,todo,Skip flag combo: replay-authority-cached,expanded
234,P2,apply,M,todo,Skip flag combo: light-node-no-comments,expanded
235,P2,apply,M,todo,Skip flag combo: mobile-headers-only-validate,expanded
236,P2,apply,M,todo,Mempool eviction: lowest RC first,expanded
237,P2,apply,M,todo,Mempool eviction: oldest first under age cap,expanded
238,P2,apply,M,todo,Mempool eviction: largest custom_json first under RAM pressure,expanded
239,P2,apply,M,todo,Mempool eviction: non-witness txs first on producer nodes,expanded
240,P2,apply,M,todo,Mempool eviction: score = RC_cost / size priority,expanded
241,P2,apply,M,todo,SIMD target: x86_64 AVX2 vote weight,expanded
242,P2,apply,M,todo,SIMD target: aarch64 NEON vote weight,expanded
243,P2,apply,M,todo,SIMD target: batch ED25519/secp if adopted paths,expanded
244,P2,apply,M,todo,SIMD target: parallel SHA-256 of tx digests,expanded
245,P2,apply,M,todo,SIMD target: parallel RIPEMD160 for address-like hashes,expanded
246,P2,apply,M,todo,Apply phase: parallel sig verify only,expanded
247,P2,apply,M,todo,Apply phase: parallel JSON parse only,expanded
248,P2,apply,M,todo,Apply phase: serial state mutation with dependency graph,expanded
249,P2,apply,M,todo,Apply phase: post-apply parallel index maintenance,expanded
250,P2,apply,M,todo,Apply phase: post-apply parallel virtual op emit,expanded
251,P2,apply,M,todo,Dependency graph: account-level serialization,expanded
252,P2,apply,M,todo,Dependency graph: object-id serialization,expanded
253,P2,apply,M,todo,Dependency graph: global props single-writer,expanded
254,P2,apply,M,todo,Dependency graph: witness schedule single-writer,expanded
255,P2,apply,M,todo,Dependency graph: allow parallel distinct NFT transfers,expanded
256,P2,apply,M,todo,Dependency graph: allow parallel distinct HTLC redeems,expanded
257,P2,apply,M,todo,Inline path: empty block finalize only,expanded
258,P2,apply,M,todo,Inline path: single-tx block,expanded
259,P2,apply,M,todo,Inline path: all-transfer block vectorized,expanded
260,P2,apply,M,todo,Inline path: all-vote block vectorized,expanded
261,P2,apply,M,todo,Cache: recent block merkle intermediate nodes,expanded
262,P2,apply,M,todo,Cache: witness key set for 21 schedule,expanded
263,P2,apply,M,todo,Cache: RC curves per resource type,expanded
264,P2,apply,M,todo,Cache: hardfork feature flags bitset,expanded
265,P2,apply,M,todo,Arena: per-block bump allocator,expanded
266,P2,apply,M,todo,Arena: per-tx bump allocator,expanded
267,P2,apply,M,todo,Arena: per-plugin notify allocator,expanded
268,P2,apply,M,todo,PGO profile: mainnet apply 1h workload,expanded
269,P2,apply,M,todo,PGO profile: social-heavy synthetic,expanded
270,P2,apply,M,todo,PGO profile: defi-heavy synthetic,expanded
271,P2,apply,M,todo,Bench gate: apply p99 vs transfer baseline,expanded
272,P2,apply,M,todo,Bench gate: block full-apply wall time budget,expanded
273,P2,apply,M,todo,Bench gate: mempool validate TPS,expanded
274,P2,apply,M,todo,Speculative next-block cancel on fork,expanded
275,P2,apply,M,todo,Speculative next-block commit only if matches,expanded
276,P2,apply,M,todo,Worker pool: apply-priority over snapshot,expanded
277,P2,apply,M,todo,Worker pool: crypto-priority over history write,expanded
278,P2,apply,M,todo,Worker pool: saturation metrics to Prometheus,expanded
279,P2,apply,M,todo,Worker pool: auto-shrink on thermal/mobile,expanded
280,P2,apply,M,todo,Worker pool: pin apply threads to big cores,expanded
281,P2,apply,M,todo,Worker pool: pin history I/O to little cores,expanded
282,P2,apply,M,todo,Virtual op: suppress low-value under load flag,expanded
283,P2,apply,M,todo,Virtual op: always emit financial ops,expanded
284,P2,apply,M,todo,Virtual op: sample social ops 1:N under load,expanded
285,P2,apply,M,todo,Hardfork apply: batch state migrations,expanded
286,P2,apply,M,todo,Hardfork apply: background index rebuild,expanded
287,P2,apply,M,todo,pop_block: field-level undo when available,expanded
288,P2,apply,M,todo,pop_block: parallel free of session nodes,expanded
289,P2,apply,M,todo,clear_expired: calendar wheel by second,expanded
290,P2,apply,M,todo,clear_expired: calendar wheel by block,expanded
291,P2,apply,M,todo,recurrent_transfer: next-due min-heap,expanded
292,P2,apply,M,todo,median_feed: sliding window deque,expanded
293,P2,apply,M,todo,authority: prehash pubkey ids in block,expanded
294,P2,apply,M,todo,authority: cache account auth for block lifetime,expanded
295,P2,apply,M,todo,custom_json: size-classed parsers,expanded
296,P2,apply,M,todo,custom_json: schema-known id fast path,expanded
297,P2,apply,M,todo,Merkle: incremental root with tx stream,expanded
298,P2,apply,M,todo,Merkle: BLAKE3 experiment non-consensus research,expanded
299,P2,apply,M,todo,Known-tx: cuckoo filter,expanded
300,P2,apply,M,todo,Known-tx: blocked-bloom dual filter,expanded
301,P0,p2p,M,todo,Compact-block relay using short transaction IDs + fill requests,catalogue
302,P1,p2p,M,todo,BIP152-style compact blocks with prefilled high-priority transactions,catalogue
303,P0,p2p,M,todo,Optional QUIC transport (msquic / quiche) with TCP fallback,catalogue
304,P1,p2p,M,todo,UDP unreliable transport for block announcements only,catalogue
305,P1,p2p,M,todo,"Adaptive compression (zstd blocks, snappy txs, none for small inv)",catalogue
306,P1,p2p,M,todo,Peer bandwidth estimation and dynamic allocation,catalogue
307,P1,p2p,M,todo,Dedicated high-priority witness-to-witness channels,catalogue
308,P1,p2p,M,todo,Full IPv6 + Happy Eyeballs,catalogue
309,P1,p2p,M,todo,STUN/TURN/ICE for NAT traversal (mobile/residential),catalogue
310,P1,p2p,M,todo,Kademlia-style DHT for peer discovery,catalogue
311,P1,p2p,M,todo,DNS SRV seeds,catalogue
312,P1,p2p,M,todo,Peer scoring by propagation latency + uptime + version,catalogue
313,P1,p2p,M,todo,Soft-ban / hard-ban for invalid blocks,catalogue
314,P1,p2p,M,todo,Rate-limit inv while allowing unlimited blocks from trusted peers,catalogue
315,P1,p2p,M,todo,Bloom / Golomb-coded set reconciliation for mempool sync,catalogue
316,P1,p2p,M,todo,Batched `get_transactions`,catalogue
317,P1,p2p,M,todo,RC-aware or size-aware transaction relay prioritization,catalogue
318,P1,p2p,M,todo,Connection multiplexing / multiple streams over one transport,catalogue
319,P1,p2p,M,todo,HTTP/3 for API and WebSocket paths,catalogue
320,P1,p2p,M,todo,Mobile-aware keep-alives,catalogue
321,P1,p2p,M,todo,Peer rotation that preserves good peers while avoiding eclipse,catalogue
322,P1,p2p,M,todo,Geographic / latency-based peer preference,catalogue
323,P0,p2p,M,todo,Headers-first then body-on-demand for light peers,catalogue
324,P1,p2p,M,todo,DoS-resistant connection limits per IP/subnet,catalogue
325,P1,p2p,M,todo,Granular message-size limits by type,catalogue
326,P1,p2p,M,todo,Fast reconnect after flaps,catalogue
327,P1,p2p,M,todo,"Prometheus metrics for peer latency histograms, bytes, bans",catalogue
328,P1,p2p,M,todo,Configurable max connections scaled by RAM,catalogue
329,P1,p2p,M,todo,Zero-copy fast path for localhost / same-machine P2P,catalogue
330,P0,p2p,M,todo,Unix-domain sockets for co-located HAF + hived,catalogue
331,P1,p2p,M,todo,“I am a mobile node” capability flag,catalogue
332,P1,p2p,M,todo,Reduced heartbeat for long-lived good peers,catalogue
333,P1,p2p,M,todo,Parallel header download for initial sync,catalogue
334,P1,p2p,M,todo,Optional trusted-checkpoint sync mode,catalogue
335,P1,p2p,M,todo,RTT-aware retransmission,catalogue
336,P1,p2p,M,todo,Multipath QUIC / MPTCP support,catalogue
337,P1,p2p,M,todo,Persistent peer reputation across restarts,catalogue
338,P1,p2p,M,todo,External bootstrap / discovery service integration,catalogue
339,P1,p2p,M,todo,Aggressive size limits on relayed `custom_json`,catalogue
340,P1,p2p,M,todo,Separate relay policy for high-volume social ops,catalogue
341,P1,p2p,M,todo,Compressed peer-address lists in handshakes,catalogue
342,P1,p2p,M,todo,Preferred-peers list for operators,catalogue
343,P1,p2p,M,todo,Soft version enforcement / upgrade prompts,catalogue
344,P1,p2p,M,todo,Block-propagation simulation tools,catalogue
345,P1,p2p,M,todo,"Built-in chaos testing (drop, delay, partition)",catalogue
346,P1,p2p,M,todo,End-to-end production-to-irreversible latency measurement,catalogue
347,P1,p2p,M,todo,Prefer SSD-backed peers for history,catalogue
348,P1,p2p,M,todo,Content-addressable hints for large payloads,catalogue
349,P1,p2p,M,todo,Zero-RTT QUIC resumption,catalogue
350,P1,p2p,M,todo,“Slow peer” mode that throttles instead of bans,catalogue
351,P1,p2p,M,todo,Dual-stack listening and advertising,catalogue
352,P1,p2p,M,todo,Rate-controlled peer exchange (PEX),catalogue
353,P1,p2p,M,todo,Optional authenticated channels via Hive keys,catalogue
354,P1,p2p,M,todo,Geographic sharding of connections,catalogue
355,P1,p2p,M,todo,Priority queues for outgoing messages,catalogue
356,P1,p2p,M,todo,Amplification-attack mitigation,catalogue
357,P1,p2p,M,todo,Configurable max blocks-in-flight per peer,catalogue
358,P1,p2p,M,todo,Dynamic push vs pull policy,catalogue
359,P1,p2p,M,todo,Dynamic seed-list updates via API,catalogue
360,P1,p2p,M,todo,"Low-power P2P mode (fewer connections, longer intervals)",catalogue
361,P1,p2p,M,todo,Inventory bloom-filter exchange,catalogue
362,P1,p2p,M,todo,Block reconstruction from compact + local mempool,catalogue
363,P1,p2p,M,todo,Latency-based peer selection (<50 ms preferred),catalogue
364,P1,p2p,M,todo,Bandwidth throttling by peer class,catalogue
365,P1,p2p,M,todo,Automatic pruning of unreachable peers,catalogue
366,P1,p2p,M,todo,WebRTC data channels for browser light nodes,catalogue
367,P1,p2p,M,todo,Message prioritization queues (blocks > txs > history),catalogue
368,P1,p2p,M,todo,Adaptive outstanding-request windows,catalogue
369,P1,p2p,M,todo,Sybil behavioral detection,catalogue
370,P1,p2p,M,todo,Prefer same-or-newer version peers,catalogue
371,P1,p2p,M,todo,Parallel body download (rarest-first),catalogue
372,P1,p2p,M,todo,Seed health monitoring and auto-update,catalogue
373,P1,p2p,M,todo,Feature-bit protocol negotiation,catalogue
374,P1,p2p,M,todo,Back-pressure when local apply lags,catalogue
375,P1,p2p,M,todo,Separate ports/interfaces for P2P vs API,catalogue
376,P1,p2p,M,todo,`SO_REUSEPORT` for multi-threaded accept,catalogue
377,P1,p2p,M,todo,`TCP_NODELAY` + tuned buffers for witnesses,catalogue
378,P1,p2p,M,todo,Explicit congestion control (BBR),catalogue
379,P1,p2p,M,todo,Anomaly-only P2P logging in production,catalogue
380,P1,p2p,M,todo,FEC for lossy links,catalogue
381,P1,p2p,M,todo,Peer capability advertisement,catalogue
382,P1,p2p,M,todo,Automatic best-transport selection per peer,catalogue
383,P1,p2p,M,todo,Rate limits derived from measured peer bandwidth,catalogue
384,P1,p2p,M,todo,Witness-only preferential connectivity mode,catalogue
385,P1,p2p,M,todo,Pre-verification of block signatures in P2P thread,catalogue
386,P1,p2p,M,todo,Efficient varint inventory serialization,catalogue
